recall,precision,threshold
1.0,0.04422778013282464,6.0740754627231584e-05
1.0,0.044474441405278675,6.176887477221766e-05
1.0,0.044719077043969,6.272843422053163e-05
1.0,0.04496964907869688,6.37525412578186e-05
1.0,0.04522467851466551,6.478166711073533e-05
1.0,0.04547931272476298,6.583708162575363e-05
1.0,0.0457351598173516,6.697946503002363e-05
1.0,0.04599052271975903,6.800660545091919e-05
1.0,0.04625387911925521,6.915249552129392e-05
1.0,0.0465254552211074,7.045246048900856e-05
1.0,0.04678275166280547,7.171408118817634e-05
1.0,0.04705351773902586,7.297306237509625e-05
1.0,0.04732743630452862,7.435090141722091e-05
1.0,0.04760456273764259,7.593485321459303e-05
1.0,0.047886785236182824,7.75149801711207e-05
